id,post_id,post_title,text_source,original_filename,audio_path,transcript_path,post_url,download_url,label
1,36745,금융범죄수사중입니다. 사건내용을 유출할 경우 처벌받을수있습니다,audio,"검찰사칭, 침착대응(OO은행 과장출신입니다. 와서수사하세요)_.mp3",dataset/audio/fss_voice_001_36745.mp3,dataset/transcripts/fss_voice_001_36745.txt,https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36745&menuNo=200691&pageIndex=1,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200691&atchFileId=2b1c54de2192367614dbb52ac498e1d3&fileSn=1&bbsId=B0000207,voice_phishing
2,36740,본인과 연루된 불법 명의도용사건이 검찰에 접수되어 연락드렸습니다,audio,"(검찰사칭, 침착대응)본인과 연루된 불법 명의도용사건이 검찰에 접수되어 연락드렸습니다 중고나라 몇번 게시물이에요_.mp3",dataset/audio/fss_voice_002_36740.mp3,dataset/transcripts/fss_voice_002_36740.txt,https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36740&menuNo=200691&pageIndex=1,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200691&atchFileId=10ccccdbba5c7cd5ec14d4448112cb27&fileSn=1&bbsId=B0000207,voice_phishing
3,36739,다음주에 재판이 열립니다. 재판증거자료를 위해 통화를 녹취하겠습니다.,audio,(검찰사칭)다음주에 재판이 열립니다. 재판증거자료를 위해 통화를 녹취하겠습니다_.mp3,dataset/audio/fss_voice_003_36739.mp3,dataset/transcripts/fss_voice_003_36739.txt,https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36739&menuNo=200691&pageIndex=1,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200691&atchFileId=8d027e10bd62193b8c8b2327d07930dd&fileSn=1&bbsId=B0000207,voice_phishing
4,36736,강남서 사이버수사과입니다,audio,(경찰 사칭)강남서 사이버수사과입니다_.mp3,dataset/audio/fss_voice_004_36736.mp3,dataset/transcripts/fss_voice_004_36736.txt,https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36736&menuNo=200691&pageIndex=1,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200691&atchFileId=78575ce2e54d62257520d9e13d366637&fileSn=1&bbsId=B0000207,voice_phishing
5,36729,"이 사건은 전자금융거래법 위반 금융사기 사건으로, 다수의 피해자가 발생한 고소고발 사건입니다",html,NR6606_마스킹 완료_정부기관 사칭형 여자 수사관_.mp3,dataset/audio/fss_voice_005_36729.mp3,dataset/transcripts/fss_voice_005_36729.txt,https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36729&menuNo=200691&pageIndex=1,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200691&atchFileId=48ac7ccc2b2e5edc2ab8b02b3b1c5d0c&fileSn=1&bbsId=B0000207,voice_phishing
6,36726,이 전화는 녹취전화라 수신이 안되므로 혹시 향후 궁금한 점 생기시면 서울중앙지검에서 ‘OOO 수사관’을 찾아주세요,html,NR6525_마스킹 완료_정부기관 사칭_.mp3,dataset/audio/fss_voice_006_36726.mp3,dataset/transcripts/fss_voice_006_36726.txt,https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36726&menuNo=200691&pageIndex=1,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200691&atchFileId=6549116b831562c4e8823e964d66a363&fileSn=1&bbsId=B0000207,voice_phishing
7,36725,(동일 사기범 다수 제보 접수 건 편집본) 저는 서울중앙지검 강력수사팀 OOO 수사관입니다. 명의가 유출되어 피해를 보신 부분에 대해서는 보상을 받으실 수 있습니다.,html,NR1227 1291 1771 2024_마스킹 완료_정부기관사칭형_.mp3,dataset/audio/fss_voice_007_36725.mp3,dataset/transcripts/fss_voice_007_36725.txt,https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36725&menuNo=200691&pageIndex=1,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200691&atchFileId=783eb11223528075364b7b2626c58d08&fileSn=1&bbsId=B0000207,voice_phishing
8,36724,"(동일 사기범 다수 제보 건 편집본) 녹취라고 해서 별다른 건 없고, 아까 제가 드렸던 질문을 그대로 녹취에 담을 겁니다. 수사 협조 부탁드립니다",html,NR1413 1665 2034 2044_마스킹 완료_정부기관 사칭형_.mp3,dataset/audio/fss_voice_008_36724.mp3,dataset/transcripts/fss_voice_008_36724.txt,https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36724&menuNo=200691&pageIndex=1,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200691&atchFileId=3e083dc100443858c6aed59e32532a1d&fileSn=1&bbsId=B0000207,voice_phishing
9,36723,"(동일 사기범 다수 제보 건 편집본) 귀하의 이름을 판매자로 등록한 후 고가의 항공권, 상품권을 판다고 한 후, 돈만 가로채고 도주한 사건입니다",html,NR1212 1632 1634 1892_마스킹 완료_정부기관 사칭사기_.mp3,dataset/audio/fss_voice_009_36723.mp3,dataset/transcripts/fss_voice_009_36723.txt,https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36723&menuNo=200691&pageIndex=1,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200691&atchFileId=27e30c8a2922393b158005077d015bae&fileSn=1&bbsId=B0000207,voice_phishing
10,36722,"(동일 사기범 다수 제보 건 편집본) 중고나라 사이트를 통해 고가의 물건을 등록해놓고 물건은 양도하지 않고 자금만 편취한 사건인데, 금융범죄사기로 분류되어 저희 첨단범죄수사부에서 사건 진행을 맡고 있습니다",html,NR1717 1751 1761 1920_정부기관 사칭형_.mp3,dataset/audio/fss_voice_010_36722.mp3,dataset/transcripts/fss_voice_010_36722.txt,https://www.fss.or.kr/fss/bbs/B0000207/view.do?nttId=36722&menuNo=200691&pageIndex=1,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200691&atchFileId=b882e008b81abe3331ae17debd5c25b1&fileSn=1&bbsId=B0000207,voice_phishing
